"tax","aoo","issue_aoo"
"Serpocaulon adnatum",340,NA
"Serpocaulon antioquianum",32,NA
"Serpocaulon articulatum",56,NA
"Serpocaulon attenuatum",20,NA
"Serpocaulon biauriculatum",12,NA
"Serpocaulon concolorum",20,NA
"Serpocaulon dissimile",72,NA
"Serpocaulon eleutherophlebium",184,NA
"Serpocaulon fraxinifolium",444,NA
"Serpocaulon funckii",116,NA
"Serpocaulon lasiopus",48,NA
"Serpocaulon latissimum",124,NA
"Serpocaulon levigatum",572,NA
"Serpocaulon loriceum",32,NA
"Serpocaulon maritimum",52,NA
"Serpocaulon nanegalense",100,NA
"Serpocaulon patentissimum",28,NA
"Serpocaulon polystichum",28,NA
"Serpocaulon psychotrium",80,NA
"Serpocaulon ptilorhizon",28,NA
"Serpocaulon richardii",16,NA
"Serpocaulon sessilifolium",160,NA
"Serpocaulon subandinum",152,NA
"Serpocaulon tayronae",8,NA
"Serpocaulon triseriale",360,NA
"Serpocaulon wagneri",28,NA
