"tax","eoo","issue_eoo"
"Serpocaulon adnatum",216517,NA
"Serpocaulon antioquianum",2182.1,NA
"Serpocaulon articulatum",364520,NA
"Serpocaulon attenuatum",NA,"|EOO cannot be estimated because less than 3 unique pair of coordinates"
"Serpocaulon biauriculatum",98432,NA
"Serpocaulon concolorum",11708.5,NA
"Serpocaulon dissimile",164922,NA
"Serpocaulon eleutherophlebium",178347,NA
"Serpocaulon fraxinifolium",NA,NA
"Serpocaulon funckii",138336,NA
"Serpocaulon lasiopus",56700,NA
"Serpocaulon latissimum",520184,NA
"Serpocaulon levigatum",354288,NA
"Serpocaulon loriceum",147427,NA
"Serpocaulon maritimum",174510,NA
"Serpocaulon nanegalense",12305678,NA
"Serpocaulon patentissimum",29789.9,NA
"Serpocaulon psychotrium",429306,NA
"Serpocaulon ptilorhizon",3075.6,NA
"Serpocaulon richardii",NA,"|EOO cannot be estimated because less than 3 unique pair of coordinates"
"Serpocaulon sessilifolium",11826902,NA
"Serpocaulon subandinum",20887055,NA
"Serpocaulon triseriale",992143,NA
"Serpocaulon wagneri",74092,NA
