"tax","id","municipio","departamento"
"Serpocaulon adnatum",1,"San Agustín","Huila"
"Serpocaulon adnatum",2,"San Miguel de Mocoa","Putumayo"
"Serpocaulon adnatum",3,"San Miguel de Mocoa","Putumayo"
"Serpocaulon adnatum",5,"Santiago de Cali","Valle del Cauca"
"Serpocaulon adnatum",7,"Cubará","Boyacá"
"Serpocaulon adnatum",8,"La Vega","Cundinamarca"
"Serpocaulon adnatum",11,"Silvania","Cundinamarca"
"Serpocaulon adnatum",13,"Briceño","Boyacá"
"Serpocaulon adnatum",14,"El Cairo","Valle del Cauca"
"Serpocaulon adnatum",15,"Barbacoas","Nariño"
"Serpocaulon adnatum",16,"Santa Isabel","Tolima"
"Serpocaulon adnatum",17,"Pitalito","Huila"
"Serpocaulon adnatum",18,"Argelia","Valle del Cauca"
"Serpocaulon adnatum",19,"Argelia","Valle del Cauca"
"Serpocaulon adnatum",20,"Tuluá","Valle del Cauca"
"Serpocaulon adnatum",21,"Manizales","Caldas"
"Serpocaulon adnatum",22,"Córdoba","Quindío"
"Serpocaulon adnatum",23,"San Vicente del Caguán","Caquetá"
"Serpocaulon adnatum",24,"San Vicente del Caguán","Caquetá"
"Serpocaulon adnatum",25,"San Vicente del Caguán","Caquetá"
"Serpocaulon adnatum",26,"Albán","Cundinamarca"
"Serpocaulon adnatum",27,"Albán","Cundinamarca"
"Serpocaulon adnatum",28,"Albán","Cundinamarca"
"Serpocaulon adnatum",29,"Floridablanca","Santander"
"Serpocaulon adnatum",30,"Neira","Caldas"
"Serpocaulon adnatum",31,"Pitalito","Huila"
"Serpocaulon adnatum",32,"La Argentina","Huila"
"Serpocaulon adnatum",33,"La Argentina","Huila"
"Serpocaulon adnatum",34,"La Argentina","Huila"
"Serpocaulon adnatum",35,"La Argentina","Huila"
"Serpocaulon adnatum",36,"El Tambo","Cauca"
"Serpocaulon adnatum",37,"Isnos","Huila"
"Serpocaulon adnatum",38,"Villamaría","Caldas"
"Serpocaulon adnatum",39,"Filandia","Quindío"
"Serpocaulon adnatum",40,"Pitalito","Huila"
"Serpocaulon adnatum",41,"San Agustín","Huila"
"Serpocaulon adnatum",42,"San Agustín","Huila"
"Serpocaulon adnatum",43,"Ibagué","Tolima"
"Serpocaulon adnatum",44,"Pereira","Risaralda"
"Serpocaulon adnatum",45,"Santuario","Risaralda"
"Serpocaulon adnatum",46,"Sipí","Chocó"
"Serpocaulon adnatum",47,"La Mesa","Cundinamarca"
"Serpocaulon adnatum",48,"Argelia","Valle del Cauca"
"Serpocaulon adnatum",49,"La Ceja","Antioquia"
"Serpocaulon adnatum",50,"Florencia","Caquetá"
"Serpocaulon adnatum",51,"Medellín","Antioquia"
"Serpocaulon adnatum",52,"Medellín","Antioquia"
"Serpocaulon adnatum",53,"Medellín","Antioquia"
"Serpocaulon adnatum",54,"San Francisco","Putumayo"
"Serpocaulon adnatum",55,"Totoró","Cauca"
"Serpocaulon adnatum",56,"Totoró","Cauca"
"Serpocaulon adnatum",57,"Rionegro","Antioquia"
"Serpocaulon adnatum",58,"Rionegro","Antioquia"
"Serpocaulon adnatum",59,"Rionegro","Antioquia"
"Serpocaulon adnatum",60,"Rionegro","Antioquia"
"Serpocaulon adnatum",62,"Pácora","Caldas"
"Serpocaulon adnatum",63,"Pácora","Caldas"
"Serpocaulon adnatum",64,"Santuario","Risaralda"
"Serpocaulon adnatum",65,"Santuario","Risaralda"
"Serpocaulon adnatum",66,"Caldas","Antioquia"
"Serpocaulon adnatum",67,"Guarné","Antioquia"
"Serpocaulon adnatum",68,"Caldas","Antioquia"
"Serpocaulon adnatum",69,"Manizales","Caldas"
"Serpocaulon adnatum",70,"Manizales","Caldas"
"Serpocaulon adnatum",71,"Manizales","Caldas"
"Serpocaulon adnatum",72,"Manizales","Caldas"
"Serpocaulon adnatum",73,"Manizales","Caldas"
"Serpocaulon adnatum",74,"Caldas","Antioquia"
