"tax","subpop"
"Serpocaulon adnatum",79
"Serpocaulon antioquianum",8
"Serpocaulon articulatum",14
"Serpocaulon attenuatum",5
"Serpocaulon biauriculatum",3
"Serpocaulon concolorum",5
"Serpocaulon dissimile",18
"Serpocaulon eleutherophlebium",44
"Serpocaulon fraxinifolium",107
"Serpocaulon funckii",28
"Serpocaulon lasiopus",12
"Serpocaulon latissimum",31
"Serpocaulon levigatum",140
"Serpocaulon loriceum",8
"Serpocaulon maritimum",13
"Serpocaulon nanegalense",25
"Serpocaulon patentissimum",7
"Serpocaulon polystichum",7
"Serpocaulon psychotrium",20
"Serpocaulon ptilorhizon",7
"Serpocaulon richardii",4
"Serpocaulon sessilifolium",39
"Serpocaulon subandinum",38
"Serpocaulon tayronae",2
"Serpocaulon triseriale",89
"Serpocaulon wagneri",7
