"fila_excel","tax","elev_msnm","colector","herbario","localidad","pais","departamento","municipio","fecha","habito","id","subpop_id"
1,"Serpocaulon adnatum",NA,"J. M. Idrobo, P. Pinto & Bischler 2909","COL 65724","Huila, San Agustin, Mesitas, vìa Magdalena, Hoya del Magdalena","Colombia","Huila","San Agustin","21425","Escandente",1,8
2,"Serpocaulon adnatum",696,"Hagemman W. & N. Leist  1567","COL 000335971","Putumayo, 59 km. Al W de El Pepino, puente de Carretera encima del Valle principal.","Colombia","Putumayo","59 km. Al W de El Pepino","26625","Rup",2,1
3,"Serpocaulon adnatum",696,"Hagemman 1567","PSO 4438","Putumayo, El Pepino","Colombia","Putumayo","El Pepino",NA,NA,3,1
4,"Serpocaulon adnatum",1054,"E. P. Killip & H. Garcia 33919","COL 18024","Colombia, Valle del Cauca, San Antonio, west of Calí, near to summit of Cordillera Occidental.","Colombia","Valle del Cauca","San Antonio","14330","He",5,15
5,"Serpocaulon adnatum",2264,"Grubb P.J. & D.A. Guymer 91","COL 000335787","Colombia, Boyacá, Sierra Nevada del Cocuy, arround Bocota.","Colombia","Boyacá","Sierra Nevada del Cocuy","21055",NA,7,54
6,"Serpocaulon adnatum",1562,"García-Barriga H 17344","COL 000335999","Colombia, Cundinamarca, San Francisco a La Vega.","Colombia","Cundinamarca","San Francisco a La Vega.","22542",NA,8,49
7,"Serpocaulon adnatum",2161,"Jaramillo-Mejía et al., 3454","COL 000335966","Colombia, Cundinamarca, entre San Miguel y Fusagasugá, hacienda La Primavera.","Colombia","Cundinamarca","entre San Miguel y Fusagasugá","24736","He",11,43
8,"Serpocaulon adnatum",2286,"Murillo M.T. et al., 1517","COL 000335789","Colombia, Boyacá, entre Chiquinquirá y Pauna, en el sitio denominado Las Fuentes.","Colombia","Boyacá","entre Chiquinquirá y Pauna","25914","Hr",13,51
9,"Serpocaulon adnatum",2210,"Lellinger D.B. & E. de la Sota 813","COL 000335781","Colombia, Valle del Cauca, Finca La Pradera ca 6 km SW of El Cairo on the trail to Río Blanco, between El Brillante and Boquerón.","Colombia","Valle del Cauca","Finca La Pradera ca 6 km SW of El Cairo on the trail to Río Blanco","26019","He",14,17
10,"Serpocaulon adnatum",411,"Leist & Mohle 2150","COL 271499","Colombia, Nariño, al W de el Diviso.","Colombia","Nariño","al W de el Diviso.","26818",NA,15,5
11,"Serpocaulon adnatum",2006,"Idrobo J.M. et al., 10521","COL 217506","Colombia, Tolima, Santa Isabel, Vereda La Pava, Finca La Pavita, Cordillera Central, vertiente oriental.","Colombia","Tolima","Santa Isabel","29437","Hr",16,46
12,"Serpocaulon adnatum",1296,"Osorio G. 78","COL 248581","Colombia, Huila, Pitalito, inspección policia La Laguna, alrededores.","Colombia","Huila","Pitalito","30305","Hr",17,9
13,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1654","COL 415684","Colombia, Valle del Cauca, Argelia, vereda Las Brisas.","Colombia","Valle del Cauca","Argelia","30368","sr",18,16
14,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1654","COL 278713","Colombia, Valle del Cauca, Argelia, vereda Las Brisas.","Colombia","Valle del Cauca","Argelia","30368","sr",19,16
15,"Serpocaulon adnatum",1756,"Devia W. 742","COL 307934","Colombia, Valle del Cauca, Tuluá, corregimiento Monteloro, vereda La Diadema, Finca de don Rogelio.","Colombia","Valle del Cauca","Tuluá","30949",NA,20,22
16,"Serpocaulon adnatum",NA,"M. de Fraume et al., 343","FAUC 222","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","31094","ne",21,37
17,"Serpocaulon adnatum",2938,"C. Vélez et al., 3675","HUQ 12896","Quindio, Cordoba, Vereda Las Auras, Finca la Palma Hermosa","Colombia","Quindio","Cordoba","34317","Hr",22,23
18,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4956","FMB 18326","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,23,41
19,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4643","FMB 18319","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,24,41
20,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4643","FMB 18327","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,25,41
21,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070293","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",26,47
22,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070223","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",27,47
23,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070222","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",28,47
24,"Serpocaulon adnatum",1848,"Murillo J. & D. Forero 3648","COL 000153085","Colombia, Santander, Floridablanca, de la Corcova hacia El Cerro La Judía.","Colombia","Santander","Floridablanca","38160","He",29,55
25,"Serpocaulon adnatum",2203,"D. Sanín 653","FAUC","Colombia, Caldas, Neira, antigua fabrica Cemenos de Caldas.","Colombia","Caldas","Neira","38197","Sc",30,37
26,"Serpocaulon adnatum",NA,"Silva G.A. et al., 557","FMB 88063","Colombia, Huila, Pitalito, vereda El Triunfo, fonca El Pedregal, a 300 m de la casa de doña Isabel Chaus, entrando desde el borde donde colinda con cafetal.","Colombia","Huila","Pitalito","38363",NA,31,19
27,"Serpocaulon adnatum",NA,"Silva G.A. et al., 129","FMB 79885","Colombia, Huila, La Argentina, vereda El Progreso, finca Buenavista, 20 m debajo de la casa de don Constantino Gómez.","Colombia","Huila","La Argentina","38420",NA,32,21
28,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 88058","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,33,21
29,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 79994","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,34,21
30,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 88059","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,35,21
31,"Serpocaulon adnatum",1783,"Muñoz E.L. et al., 1917","CAUP 18762","Colombia, Cauca, El Tambo, Reserva Natural Tambito.","Colombia","Cauca","El Tambo","38825","He",36,14
32,"Serpocaulon adnatum",NA,"D. Sanín & E. Sanín 3253","FAUC","Colombia, Huila, San Agustín, vereda Platanares, relicto arriba de la Escuela Platanares.","Colombia","Huila","San Agustín","39820","He",37,8
33,"Serpocaulon adnatum",2572,"D. Sanín, L. F. Coca, J. F. Cardona & C. A. Duque. 3316","HUA","Colombia, Caldas, Manizales-Villamaría, vereda Montaño, finca San Atonio, relicto al nororiente de la casa.","Colombia","Caldas","Manizales-Villamaría","40002","He",38,37
34,"Serpocaulon adnatum",1856,"D. Sanín, J. C Ospina-Gonzalez & E. Sanín 3080","FAUC","Colombia, Quindio, Filandia, vereda Cruces, corredor biologico Los Monos, Sendero El Otobo.","Colombia","Quindio","Filandia","40013","Hem",39,24
35,"Serpocaulon adnatum",NA,"D. Sanín & E. Sanín 3214","FAUC","Colombia, Huila, Pitalito, vereda Charguayaco, Reserva de la comunidad el Arroyuelo.","Colombia","Huila","Pitalito","40022","He",40,19
36,"Serpocaulon adnatum",1573,"D. Sanín & E. Sanín 3244","FAUC","Colombia, Huila, San Agustín, vereda La Chaquira, por el camino hacia el puente que atraviesa el río Magdalena, relicto debajo de la roca.","Colombia","Huila","San Agustín","40022","Hr",41,8
37,"Serpocaulon adnatum",1573,"D. Sanín & E. Sanín 3244","HUA","Colombia, Huila, San Agustín, vereda La Chaquira, por el camino hacia el puente que atraviesa el río Magdalena, relicto debajo de la roca.","Colombia","Huila","San Agustín","40022","Hr",42,8
38,"Serpocaulon adnatum",2033,"D. Sanín et al., 3178","FAUC","Colombia, Tolima, Ibague, Corregimiento de Juntas, vía la Escuela El Salto.","Colombia","Tolima","Ibague","40022","Rup",43,44
39,"Serpocaulon adnatum",1864,"D. Sanín, E. Sanín & J. Toro 2446","FAUC","Colombia, Risaralda, Pereira, Reserva Otun Quimbaya, zona amortiguadora del Parque los Nevados.","Colombia","Risaralda","Pereira","40154","He",44,24
40,"Serpocaulon adnatum",2308,"J. H. Torres, O. Rangel, P. Franco, A. Cleef & S. Salamanca 2147","COL 264898","Colombia, Risaralda, Santuario, vereda Los Planes.","Colombia","Risaralda","Santuario","30370","Hr",45,26
41,"Serpocaulon adnatum",1856,"J. E. Ramos, P. A. Silverstone & L. H.Ramos 1163","CUVC 20852","Colombia, Chocó, San Jose del Palmar, vereda de Río Negro, Cerro Torrá, vertiente orientel río Negro, debajo del helipuerto.","Colombia","Chocó","San Jose del Palmar","32367","sr",46,18
42,"Serpocaulon adnatum",2029,"H. Bischler 2246","COL 82759","Colombia, Cundinamarca, Laguna Pedro-Palo.","Colombia","Cundinamarca","Laguna Pedro-Palo.","21661","He",47,45
43,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1729","COL 278888","Colombia, Valle del Cauca, Argelia, vereda Las Brisas, Finca San Jorge.","Colombia","Valle del Cauca","Argelia","30338","sr",48,16
44,"Serpocaulon adnatum",2260,"Hno. Daniel 678","COL 178360","Antioquia, La Ceja, Monte Uchubal","Colombia","Antioquia","La Ceja","13058","nr",49,53
