"Especie","Area km^2","Dist_PMC m","Isolated","Small"
"Serpocaulon adnatum","40460.139468","83468.0887499801","TRUE","FALSE"
"Serpocaulon adnatum","546.280686","24727.0137584994","FALSE","FALSE"
"Serpocaulon adnatum","2.855286","3183.30484389435","FALSE","TRUE"
"Serpocaulon adnatum","14642.275032","28014.8578627983","FALSE","FALSE"
"Serpocaulon adnatum","17.131716","2799.48658540209","FALSE","TRUE"
"Serpocaulon adnatum","10753.191288","15342.4460477984","FALSE","FALSE"
"Serpocaulon adnatum","825.546078","24461.0795575278","FALSE","FALSE"
"Serpocaulon adnatum","2938.918248","59180.7255390748","TRUE","FALSE"
"Serpocaulon adnatum","0.092106","3358.00351385621","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","911.985624575827","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","911.985624575827","FALSE","TRUE"
"Serpocaulon adnatum","0.46053","640.506433353464","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","427.086107145574","FALSE","TRUE"
"Serpocaulon adnatum","0.368424","1806.87636690613","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","427.086107145574","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","640.718079994385","FALSE","TRUE"
"Serpocaulon adnatum","3.039498","2121.85530783506","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","854.57600460984","FALSE","TRUE"
"Serpocaulon adnatum","0.368424","854.530124813948","FALSE","TRUE"
"Serpocaulon adnatum","0.736848","2570.07912911535","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","3190.98435842263","FALSE","TRUE"
"Serpocaulon adnatum","1.289484","1060.77978224491","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","678.544518642969","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","678.544518642969","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","1075.53889177268","FALSE","TRUE"
"Serpocaulon adnatum","0.368424","5211.70725380659","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","1181.69593970043","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1181.62501568113","FALSE","TRUE"
"Serpocaulon adnatum","0.644742","965.771664520052","FALSE","TRUE"
"Serpocaulon adnatum","0.552636","1778.06415012243","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","1778.31234006076","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","817.779419870918","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","427.174658363332","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","427.174658363332","FALSE","TRUE"
"Serpocaulon adnatum","0.552636","965.810424218904","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1529.1012294778","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1495.92259800789","FALSE","TRUE"
"Serpocaulon adnatum","0.368424","1086.54402620837","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","760.70499668233","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","760.75941859644","FALSE","TRUE"
"Serpocaulon adnatum","1.197378","1561.25383245723","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1682.32957401732","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1017.91613853329","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","1017.86171661918","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1282.20679510599","FALSE","TRUE"
"Serpocaulon adnatum","0.368424","1650.36550566513","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1213.88786156679","FALSE","TRUE"
"Serpocaulon adnatum","0.276318","1759.10770221943","FALSE","TRUE"
"Serpocaulon adnatum","4.881618","2150.742161574","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1650.46580737513","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","2400.78701324356","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1514.20283162053","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1178.7194739654","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","427.332208384543","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","427.332208384543","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","2895.98991170951","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","1209.88256526658","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","1209.95348928589","FALSE","TRUE"
"Serpocaulon adnatum","0.184212","2174.10583211881","FALSE","TRUE"
"Serpocaulon adnatum","0.092106","2174.17675613811","FALSE","TRUE"
"Serpocaulon adnatum","27.539694","8161.23736217876","FALSE","TRUE"
"Serpocaulon adnatum","97882.980426","19271.9179847443","FALSE","FALSE"
"Serpocaulon adnatum","0.184212","4925.46602322882","FALSE","TRUE"
"Serpocaulon adnatum","1.013166","1500.05417677396","FALSE","TRUE"
