"tax","FS_score","Frag_severa","pct_HH","subpob_perdida","cod_fragmentacion","cod_dism_habitat","cod_dism_subpob","subpob_desap_sino","fuente_dism_habitat","fuente_dism_subpob"
"Serpocaulon adnatum",69,TRUE,21,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon antioquianum",67,TRUE,36,FALSE,"YES","YES","NO","NO","Inferred","Inferred"
"Serpocaulon articulatum",58,TRUE,13,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon attenuatum",87,TRUE,19,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon biauriculatum",50,FALSE,21,FALSE,"NO","NO","NO","NO","Inferred","Inferred"
"Serpocaulon concolorum",64,TRUE,21,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon dissimile",70,TRUE,15,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon eleutherophlebium",64,TRUE,26,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon fraxinifolium",68,TRUE,20,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon funckii",67,TRUE,27,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon lasiopus",53,TRUE,49,FALSE,"YES","YES","NO","NO","Inferred","Inferred"
"Serpocaulon latissimum",68,TRUE,10,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon levigatum",69,TRUE,20,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon loriceum",55,TRUE,25,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon maritimum",45,FALSE,12,FALSE,"NO","NO","NO","NO","Inferred","Inferred"
"Serpocaulon nanegalense",65,TRUE,26,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon patentissimum",50,FALSE,15,FALSE,"NO","NO","NO","NO","Inferred","Inferred"
"Serpocaulon polystichum",69,TRUE,33,FALSE,"YES","YES","NO","NO","Inferred","Inferred"
"Serpocaulon psychotrium",67,TRUE,11,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon ptilorhizon",74,TRUE,51,FALSE,"YES","YES","NO","NO","Inferred","Inferred"
"Serpocaulon richardii",83,TRUE,19,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon sessilifolium",66,TRUE,18,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon subandinum",63,TRUE,26,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon tayronae",NA,NA,30,FALSE,"Unknown","YES","NO","NO","Inferred","Inferred"
"Serpocaulon triseriale",70,TRUE,10,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
"Serpocaulon wagneri",53,TRUE,18,FALSE,"YES","NO","NO","NO","Inferred","Inferred"
